CARTRIDGE,CALIBER,G1,G7,Weight,Muzzle
260 REM: Fiocchi 129gr SST,0.2640,0.4850,,129,2800
260 REM: Hornady 129gr  SST ,0.2640,0.0000,,129,2930
260 REM: Hornady 130gr ELD  Match,0.2640,0.0000,,130,2840
260 REM: Lapua 136gr Scenar-L,0.264,0.0000,,136,2671
260 REM: Nosler 120gr BTA BT,0.2640,0.0000,,120,2850
260 REM: Nosler 130gr TGA AB,0.2640,0.0000,,130,2700
260 REM: Nosler 140gr BTA BT,0.2640,0.0000,,140,2700
260 REM: User Data,0.2640,0.0000,,0,0
264 WIN MAG: Nosler 125gr NCA PT,0.2640,0.0000,,125,3200
264 WIN MAG: Nosler 130gr TGA AB,0.2640,0.0000,,130,3100
264 WIN MAG: Nosler 140gr NCA PT,0.2640,0.0000,,140,2950
264 WIN MAG: User Data,0.2640,0.0000,,0,0
264 WIN MAG: Winchester 140gr Power-Point,0.2640,0.3840,,140,3030
27 NOSLER: Nosler 150gr TGA AB,0.2780,0.0000,,150,3250
27 NOSLER: Nosler 165gr TGA-LR ABLR,0.2780,0.0000,,165,3158
27 NOSLER: User Data,0.2780,0.0000,,0,0
270 WBY MAG: Nosler 150gr TGA-LR ABLR,0.2770,0.0000,,150,3080
270 WBY MAG: User Data,0.2770,0.0000,,0,0
270 WIN SHORT MAG: Federal 130gr Trophy Bonded Tip,0.2770,0.4400,,130,3280
270 WIN SHORT MAG: Federal 130gr Trophy Copper,0.2770,0.4590,,130,3280
270 WIN SHORT MAG: Federal 136gr Terminal Ascent,0.2770,0.4930,0.2470,136,3240
270 WIN SHORT MAG: Federal 140gr Berger Hybrid Hunter,0.2770,0.5280,0.2710,140,3200
270 WIN SHORT MAG: Federal 140gr Trophy Bonded Tip,0.2770,0.4550,,140,3200
270 WIN SHORT MAG: User Data,0.2770,0.0000,,0,0
270 WIN: Federal 130gr Barnes Triple-Shock,0.2770,0.3740,,130,3060
270 WIN: Federal 130gr Swift Scirocco Ii,0.2770,0.4500,,130,3050
270 WIN: Federal 130gr Trophy Bonded Tip,0.2770,0.4400,,130,3060
270 WIN: Federal 130gr Trophy Copper,0.2770,0.4590,,130,3060
270 WIN: Federal 136gr Terminal Ascent,0.2770,0.4930,0.2470,136,3000
270 WIN: Federal 140gr Berger Hybrid Hunter,0.2770,0.5280,0.2710,140,2950
270 WIN: Federal 140gr Trophy Bonded Tip,0.2770,0.4550,,140,2950
270 WIN: Federal 145gr Eld-X,0.2770,0.5360,0.2700,145,2890
270 WIN: Fiocchi 130gr COPPER HP,0.2770,0.3700,,130,3100
270 WIN: Fiocchi 130gr PSP,0.2770,0.4090,,130,3010
270 WIN: Fiocchi 130gr SCIROCCO,0.2770,0.4500,,130,3050
270 WIN: Fiocchi 150gr SST,0.2770,0.5250,,150,2860
270 WIN: Hornady 130gr CX ,0.2770,0.0000,,130,3000
270 WIN: Hornady 130gr CX ,0.2770,0.0000,,130,3190
270 WIN: Hornady 130gr InterLock  SP,0.2770,0.0000,,130,3060
270 WIN: Hornady 130gr SST ,0.2770,0.0000,,130,3050
270 WIN: Hornady 130gr SST ,0.2770,0.0000,,130,3200
270 WIN: Hornady 140gr InterLock  SP,0.2770,0.0000,,140,2940
270 WIN: Hornady 140gr SST ,0.2770,0.0000,,140,3090
270 WIN: Hornady 145gr ELD-X ,0.2770,0.0000,,145,2970
270 WIN: Nosler 130gr BTA BT,0.2770,0.0000,,130,3075
270 WIN: Nosler 130gr ETA ET,0.2770,0.0000,,130,2950
270 WIN: Nosler 130gr TGA AB,0.2770,0.0000,,130,3075
270 WIN: Nosler 130gr TGA PT,0.2770,0.0000,,130,3050
270 WIN: Nosler 130gr WCA SB,0.2770,0.0000,,130,3060
270 WIN: Nosler 140gr BTA BT,0.2770,0.0000,,140,2900
270 WIN: Nosler 150gr TGA PT,0.2770,0.0000,,150,2800
270 WIN: Nosler 150gr TGA-LR ABLR,0.2770,0.0000,,150,2850
270 WIN: User Data,0.2770,0.0000,,0,0
270 WIN: Winchester 130gr Ballistic Silvertip,0.2770,0.4330,,130,3050
270 WIN: Winchester 130gr Copper Extreme Point,0.2770,0.4180,,130,3000
270 WIN: Winchester 130gr Extreme Point,0.2770,0.4500,,130,3060
270 WIN: Winchester 130gr Power-Point,0.2770,0.3720,,130,3060
270 WIN: Winchester 150gr Accubond LR,0.2770,0.5910,,150,2900
270 WIN: Winchester 150gr Power-Point,0.2770,0.3440,,150,2850
270 WSM: Hornady 130gr CX ,0.2770,0.0000,,130,3150
270 WSM: Hornady 145gr ELD-X ,0.2770,0.0000,,145,3100
